# OpenSubtitles2018 frequency export (hermitdave/FrequencyWords)
# source: https://github.com/hermitdave/FrequencyWords
# exported-at: 2026-08-26T17:45:21+00:00
# license: CC BY-SA-4.0
10990	all
10957	fin
10937	kommet
10907	stå
10906	lett
10817	timer
10760	vente
10741	redde
10719	spise
10716	høres
10701	treffe
10654	setter
10612	mennesker
10596	jenta
10580	sitter
10478	sønn
10413	legg
10410	slapp
10408	velkommen
10366	spiller
10364	bryr
10333	ringe
10214	syns
10173	skje
10150	kaptein
10141	fyr
10119	mat
10110	sette
10094	john
10091	jobbet
10073	fyren
10021	di
9957	leve
9931	tak
9902	enda
9875	seks
9874	selvsagt
9838	egentlig
9831	bruker
9787	mulig
9769	gutten
9743	åpne
9721	finnes
9685	jack
9658	best
9644	lang
9630	problem
9597	full
9572	problemer
9561	ses
9537	videre
9481	navnet
9474	lever
9438	holdt
9435	imot
9426	utenfor
9418	spørre
9417	utrolig
9413	satt
9409	kone
9396	dreper
9371	sent
9354	tom
9323	fins
9248	nede
9243	oppe
9243	ring
9207	kjeft
9197	lar
9191	skjedd
9175	begynte
9158	kona
9110	ringte
9083	hus
9079	hater
9027	mindre
9018	hente
8986	fantastisk
8975	hjelper
8945	new
8920	fremdeles
8897	barna
8855	gutter
8843	jobbe
8832	handler
8831	mest
8789	spille
8786	selvfølgelig
8773	stort
8758	fram
8747	kaller
8745	ro
8733	vennen
8730	glem
8685	rommet
8684	kjøre
8594	øynene
8580	tusen
8542	vann
8538	forsiktig
8532	sjanse
8513	skolen
8507	kjører
8468	løp
8456	gal
8449	lover
8430	herr
8429	gangen
8403	resten
8391	side
8378	pass
8364	fred
8342	sønnen
8322	lage
8314	plass
8301	familie
8263	sannheten
8255	ekte
8254	kjent
8226	fri
8207	uke
8138	foran
8133	våpen
8119	fast
8098	an
8096	lite
8074	broren
8032	måneder
7998	landet
7991	snakk
7975	s
7949	hvert
7943	driver
7913	tur
7887	tidligere
7876	kvinner
7831	the
7813	ønske
7789	prøv
7781	bil
7775	valg
7746	legge
7630	bror
7619	føles
7593	vondt
7562	miss
7554	straks
7549	kjøpe
7538	gitt
7524	stund
7483	laget
7474	jøss
7460	rom
7450	pa
7437	tidlig
